#A-Y: hPa, Z: KT(km/h), AA: location, range[0-24], AB: post-location, range[0-24], AB: name, date,,,,,,,,,,,,,,,,,,,,
1002,1004,1004,1005,1006,1000,1002,1004,1002,1000,1000,1000,1002,1004,1004,996,996,1000,1003,1003,970,994,996,1000,1004,8,82,11
1002,1002,1002,1003,1004,1002,1002,1003,1004,1004,1000,1000,1002,1004,1004,996,998,1000,1004,1006,985,996,1000,1004,1006,8,91,11
1001,1002,1003,1004,1003,1000,1000,1000,1002,1004,998,998,1000,1000,1003,996,994,996,1001,1003,985,990,996,1000,1002,7,92,13
1002,1003,1004,1002,1001,1000,1000,1003,1004,1003,998,997,996,998,1000,997,994,992,996,1000,996,992,985,992,996,15,85,10
1006,1007,1006,1008,1008,1005,1004,1004,1004,1004,1004,1002,1000,1000,1000,1003,1002,1000,996,996,1002,1000,998,990,996,20,98,8
1008,1005,1004,1004,1005,1007,1005,1004,1004,1004,1004,1003,1000,1000,1003,1002,1000,996,1000,1004,1000,996,970,996,1002,18,96,10
1003,1003,1004,1003,1006,1002,1003,1004,1004,1005,1001,1000,1000,1000,1004,1002,1000,996,996,1000,1001,996,992,950,996,6,87,13
1004,1006,1008,1008,1009,1003,1004,1004,1006,1008,1001,1000,1000,1002,1004,1000,998,996,992,996,1003,992,960,994,1003,12,86,9
1012,1011,1010,1011,1012,1009,1009,1009,1010,1012,1008,1006,1007,1008,1010,1005,1002,1000,1004,1008,1001,996,945,1000,1008,8,85,13
1016,1014,1013,1012,1012,1014,1012,1011,1010,1010,1010,1008,1008,1009,1010,1006,1004,1000,1004,1008,1004,1000,925,1000,1008,9,95,9
1010,1010,1010,1010,1010,1008,1008,1008,1008,1008,1004,1004,1006,1007,1008,1006,1006,1004,1004,1005,1006,1005,1004,1004,970,9,100,14
1009,1008,1007,1006,1006,1009,1008,1006,1006,1007,1008,1006,1004,1006,1007,1007,1004,1000,1000,1004,1005,1004,1000,940,1002,11,97,14
1004,1004,1005,1004,1004,1003,1004,1004,1005,1004,1003,1002,1004,1004,1004,1001,1000,1002,1004,1004,998,970,1000,1004,1004,11,93,11
1004,1006,1007,1008,1009,1004,1006,1007,1008,1009,1004,1004,1006,1008,1008,1000,1000,1004,1008,1008,985,1000,1004,1007,1007,8,92,11
1006,1006,1008,1008,1007,1004,1004,1006,1008,1008,1003,1004,1004,1006,1008,1002,1003,1004,1007,1008,994,1002,1003,1007,1007,10,91,12
1008,1009,1012,1012,1012,1008,1008,1008,1008,1008,1007,1007,1007,1007,1007,1004,1004,1004,1004,1004,1002,1000,998,1000,1004,11,95,18
1005,1005,1006,1007,1008,1004,1004,1004,1006,1007,1003,1003,1003,1004,1005,1002,1000,1000,1000,1004,1002,1000,990,1000,1004,13,86,13
1007,1008,1009,1008,1008,1007,1008,1009,1009,1010,1005,1005,1007,1008,1009,1004,1004,1004,1004,1008,1003,1000,980,1004,1007,13,86,15
